id,identification,id_category,sex,name
1,1,1,Male,
2,2,1,Female,
3,3,1,Male,
4,4,1,Female,
5,5,1,Male,
6,6,1,Female,
7,7,1,Female,
8,8,1,Male,
9,9,1,Female,
10,10,1,Male,
11,11,1,Female,
12,12,1,Male,
13,13,1,Male,
14,14,1,Female,
15,15,1,Male,
16,16,1,Male,
17,17,1,Male,
18,18,1,Female,
19,19,1,Female,
20,20,1,Female,
21,21,1,Male,
22,22,1,Female,
23,23,1,Male,
24,24,1,Female,
25,25,1,Female,
26,26,1,Male,
27,27,1,Male,
28,28,1,Female,
29,29,1,Male,
30,30,1,Male,
31,31,1,Male,
32,32,1,Male,
33,33,1,Male,
34,34,1,Male,
35,35,1,Female,
36,36,1,Male,
37,37,1,Male,
38,38,1,Male,
39,39,1,Female,
40,40,1,Male,
41,41,1,Unknown,
42,42,1,Male,
43,43,1,Male,
44,44,1,Female,
45,45,1,Male,
46,46,1,Unknown,
47,47,1,Male,
48,48,1,Female,
49,49,1,Female,
50,50,1,Male,
51,51,1,Male,
52,52,1,Female,
53,53,1,Male,
54,54,1,Male,
55,55,1,Female,
56,56,1,Female,
57,57,1,Female,
58,58,1,Male,
59,59,1,Male,
60,60,1,Female,
61,61,1,Unknown,
62,62,1,Female,
63,63,1,Female,
64,64,1,Female,
65,65,1,Female,
66,66,1,Male,
67,67,1,Female,
68,68,1,Female,
69,69,1,Male,
70,70,1,Female,
71,71,1,Male,
72,72,1,Female,
73,73,1,Male,
74,74,1,Female,
75,75,1,Male,
76,76,1,Female,689
77,77,1,Male,
78,78,1,Female,691
79,79,1,Male,
80,80,1,Male,
81,81,1,Female,
82,82,1,Female,
83,83,1,Male,
84,84,1,Male,CLAUDIO
85,85,1,Female,
86,86,1,Male,
87,87,1,Male,
88,88,1,Male,
89,89,1,Female,
90,90,1,Female,
91,91,1,Female,
92,92,1,Female,
93,93,1,Male,
94,94,1,Female,
95,95,1,Female,
96,96,1,Male,
97,97,1,Male,
98,98,1,Female,
99,99,1,Male,
100,100,1,Female,
101,101,1,Unknown,
102,102,1,Unknown,
103,103,1,Male,
104,104,1,Male,
105,105,1,Female,MARIA
106,106,1,Male,
107,107,1,Male,
108,108,1,Male,
109,109,1,Male,
110,110,1,Female,GERTIE
111,111,1,Female,
112,112,1,Male,
113,113,1,Male,
114,114,1,Male,
115,115,1,Male,
116,116,1,Male,
117,117,1,Female,
118,118,1,Male,
119,119,1,Male,
120,120,1,Unknown,
121,121,1,Female,
122,122,1,Male,
123,123,1,Male,
124,124,1,Male,
125,125,1,Female,ESME
126,126,1,Male,
127,127,1,Female,
128,128,1,Male,
129,129,1,Male,
130,130,1,Male,
131,131,1,Male,
132,132,1,Male,
133,133,1,Female,
134,134,1,Male,
135,135,1,Female,
136,136,1,Male,
137,137,1,Male,
138,138,1,Female,
139,139,1,Male,
140,140,1,Female,TINA
141,141,1,Female,
142,142,1,Male,CAPTAIN
143,143,1,Female,
144,144,1,Male,
145,145,1,Male,
146,146,1,Female,
147,147,1,Male,
148,148,1,Female,
149,149,1,Male,
150,150,1,Male,
151,151,1,Female,
152,152,1,Male,
153,153,1,Male,
154,154,1,Male,NICEIKE
155,155,1,Female,
156,156,1,Male,
157,157,1,Male,
158,158,1,Female,
159,159,1,Unknown,
160,160,1,Male,
161,161,1,Male,
162,162,1,Female,
163,163,1,Female,
164,164,1,Unknown,
165,165,1,Male,
166,166,1,Female,
167,167,1,Female,
168,168,1,Female,DEVRA
169,169,1,Male,
170,170,1,Male,
171,171,1,Female,
172,172,1,Female,
173,173,1,Male,
174,174,1,Female,
175,175,1,Male,
176,176,1,Female,
177,177,1,Male,
178,178,1,Female,
179,179,1,Male,
180,180,1,Male,
181,181,1,Female,
182,182,1,Male,
183,183,1,Male,
184,184,1,Male,
185,185,1,Female,
186,186,1,Male,
187,187,1,Male,
188,188,1,Male,
189,189,1,Male,AMOS
190,190,1,Male,
191,191,1,Female,
192,192,1,Female,
193,193,1,Male,LAURY
194,194,1,Male,CLAUDIO
195,195,1,Male,PINON
196,196,1,Female,
197,197,1,Male,
198,198,1,Female,
199,199,1,Male,
200,200,1,Female,TENILLE
201,201,1,Male,
202,202,1,Male,
203,203,1,Male,
204,204,1,Female,
205,205,1,Male,
206,206,1,Female,
207,207,1,Male,
208,208,1,Female,
209,209,1,Male,DIAMANTE
210,210,1,Female,
211,211,1,Female,CRISTAL
212,212,1,Male,
213,213,1,Female,
214,214,1,Female,
215,215,1,Male,
216,216,1,Female,
217,217,1,Female,
218,218,1,Male,
219,219,1,Male,
220,220,1,Female,TELVA
221,221,1,Unknown,
222,222,1,Male,
223,223,1,Male,
224,224,1,Female,
225,225,1,Unknown,
226,226,1,Unknown,
227,227,1,Male,
228,228,1,Female,
229,229,1,Female,
230,230,1,Female,
231,231,1,Male,
232,232,1,Female,
233,233,1,Female,DIANA
234,234,1,Unknown,
235,235,1,Unknown,
236,236,1,Female,
237,237,1,Female,YARA
238,238,1,Unknown,
239,239,1,Male,
240,240,1,Female,
241,241,1,Female,
242,242,1,Female,
243,243,1,Female,
244,244,1,Unknown,
245,245,1,Unknown,
246,246,1,Female,
247,247,1,Male,
248,248,1,Male,
249,249,1,Female,
250,250,1,Female,
251,251,1,Male,
252,252,1,Female,
253,253,1,Male,
254,254,1,Female,CASSIE
255,255,1,Unknown,
256,256,1,Male,FERNANDO
257,257,1,Unknown,
258,258,1,Male,
259,259,1,Male,
260,260,1,Male,MARCO
261,261,1,Female,INEZ
262,262,1,Unknown,
263,263,1,Male,
264,264,1,Male,
265,265,1,Male,
266,266,1,Female,
267,267,1,Female,
268,268,1,Male,
269,269,1,Unknown,
270,270,1,Unknown,
271,271,1,Unknown,
272,272,1,Unknown,
273,273,1,Female,PRETINHA
274,274,1,Male,
275,275,1,Unknown,
276,276,1,Male,
277,277,1,Male,
278,278,1,Female,
279,279,1,Male,
280,280,1,Female,
281,281,1,Male,
282,282,1,Unknown,
283,283,1,Female,
284,284,1,Male,
285,285,1,Male,
286,286,1,Male,
287,287,1,Unknown,
288,288,1,Unknown,
289,289,1,Unknown,
290,290,1,Unknown,
291,291,1,Male,
292,292,1,Male,
293,293,1,Male,
294,294,1,Male,EPI
295,295,1,Male,BLAS
296,296,1,Female,
297,297,1,Male,
298,298,1,Female,
299,299,1,Female,LEONIE
300,300,1,Male,LEONARDO
301,301,1,Female,1924
302,302,1,Female,MAGDA
303,303,1,Unknown,
304,304,1,Unknown,
305,305,1,Male,VANDALAI
306,306,1,Female,ROXANNE
307,307,1,Male,
308,308,1,Male,
309,309,1,Female,
310,310,1,Female,
311,311,1,Female,
312,312,1,Male,
313,313,1,Male,
314,314,1,Female,
315,315,1,Female,
316,316,1,Male,
317,317,1,Male,
318,318,1,Female,EVA 
319,319,1,Female,
320,320,1,Male,
321,321,1,Male,
322,322,1,Unknown,
323,323,1,Female,
324,324,1,Female,
325,325,1,Male,
326,326,1,Male,
327,327,1,Male,ARCHIE
328,328,1,Female,COCO
329,329,1,Male,
330,330,1,Female,
331,331,1,Male,
332,332,1,Male,STICKY
333,333,1,Male,ERIC
334,334,1,Male,
335,335,1,Male,
336,336,1,Female,
337,337,1,Female,
338,338,1,Unknown,
339,339,1,Female,
340,340,1,Unknown,
341,341,1,Unknown,
342,342,1,Unknown,
343,343,1,Unknown,
344,344,1,Unknown,
345,345,1,Female,
346,346,1,Male,
347,347,1,Female,
348,348,1,Female,TAVO
349,349,1,Female,TRIQUI
350,350,1,Unknown,
351,351,1,Female,
352,352,1,Female,
353,353,1,Male,tupi
354,354,1,Female,CAJA
355,355,1,Female,
356,356,1,Unknown,
357,357,1,Male,
358,358,1,Male,
359,359,1,Unknown,
360,360,1,Unknown,
361,363,1,Female,LUANA
362,364,1,Female,JAVIER
363,365,1,Male,
364,366,1,Female,
365,367,1,Male,
366,368,1,Male,
367,369,1,Male,
368,370,1,Female,
369,371,1,Male,ELMO
370,372,1,Male,ELMO
371,373,1,Female,
372,374,1,Male,
373,375,1,Female,
374,376,1,Unknown,
375,377,1,Male,
376,378,1,Male,
377,379,1,Male,
378,380,1,Unknown,
379,381,1,Unknown,
380,382,1,Male,
381,383,1,Female,
382,384,1,Male,
383,385,1,Male,
384,386,1,Male,
385,387,1,Male,
386,388,1,Unknown,
387,389,1,Male,
388,390,1,Male,
389,391,1,Male,
390,392,1,Male,
391,393,1,Unknown,
392,394,1,Female,
393,395,1,Male,
394,396,1,Unknown,
395,397,1,Female,BERTHA
396,398,1,Female,ERNIE
397,399,1,Female,
398,400,1,Female,
399,401,1,Unknown,
400,402,1,Unknown,
401,403,1,Unknown,
402,404,1,Unknown,
403,405,1,Unknown,
404,406,1,Unknown,
405,407,1,Unknown,
406,408,1,Female,
407,409,1,Male,FLUFFY
408,410,1,Male,LENNY
409,411,1,Male,
410,412,1,Male,
411,413,1,Male,
412,414,1,Female,
413,415,1,Female,
414,416,1,Female,
415,417,1,Unknown,
416,418,1,Female,GIRL
417,419,1,Male,RUNT
418,420,1,Male,BIG BOY
419,421,1,Female,
420,422,1,Female,
421,423,1,Male,
422,424,1,Male,
423,425,1,Male,
424,426,1,Male,
425,427,1,Male,
426,428,1,Male,
427,429,1,Male,
428,430,1,Female,KINHA
429,431,1,Male,
430,432,1,Female,
431,433,1,Male,
432,436,1,Female,
433,437,1,Male,
434,438,1,Unknown,
435,439,1,Female,
436,440,1,Unknown,
437,441,1,Female,
438,442,1,Unknown,
439,443,1,Unknown,
440,444,1,Unknown,
441,445,1,Unknown,
442,446,1,Unknown,
443,447,1,Unknown,
444,448,1,Unknown,
445,449,1,Unknown,
446,450,1,Female,
447,451,1,Male,
448,452,1,Female,
449,453,1,Female,
450,454,1,Female,
451,455,1,Male,
452,456,1,Male,
453,457,1,Male,
454,458,1,Female,
455,459,1,Male,
456,460,1,Male,
457,461,1,Unknown,
458,462,1,Female,
459,463,1,Unknown,
460,464,1,Male,OMERINHO
461,465,1,Male,
462,466,1,Female,
463,467,1,Female,
464,468,1,Male,FRANCISCO
465,469,1,Male,
466,470,1,Male,
467,471,1,Male,
468,472,1,Male,
469,473,1,Male,
470,474,1,Male,
471,475,1,Male,
472,476,1,Male,
473,477,1,Male,
474,478,1,Male,
475,479,1,Female,
476,480,1,Male,
477,481,1,Female,
478,482,1,Male,
479,483,1,Male,
480,484,1,Male,
481,485,1,Female,
482,486,1,Male,
483,487,1,Female,
484,488,1,Male,
485,489,1,Unknown,
486,490,1,Female,
487,491,1,Male,
488,492,1,Male,
489,493,1,Female,
490,494,1,Female,
491,495,1,Female,
492,496,1,Female,
493,497,1,Unknown,
494,498,1,Male,
495,499,1,Unknown,
496,500,1,Unknown,
497,501,1,Unknown,
498,502,1,Female,
499,503,1,Unknown,
500,504,1,Unknown,
501,505,1,Unknown,
502,506,1,Female,
503,507,1,Unknown,
504,508,1,Unknown,
505,TE64,1,Male,
506,TE65,1,Unknown,
507,TE66,1,Unknown,
508,TE67,1,Unknown,
509,TE68,1,Male,
510,TE69,1,Male,
511,TE70,1,Unknown,
512,TE71,1,Unknown,
513,TE72,1,Male,
514,TE73,1,Male,Kinho
515,TE74,1,Unknown,
516,TE75,1,Unknown,
517,TE76,1,Unknown,
,MAM_0335,2,Female,LCSP008
,MAM_0336,2,Male,LCSP009
,MAM_0337,2,Male,LCSP001
,MAM_0338,2,Female,LCSP002
,MAM_0339,2,Female,LCSP003
,MAM_0340,2,Male,LCSP004
,MAM_0341,2,Female,LCSP005
,MAM_0342,2,Female,LCSP006
,MAM_0343,2,Male,LCSP007
,MAM_0344,2,Male,PEMD1
,MAM_0345,2,Male,PEMD2
,MAM_0346,2,Male,PEMD3A
,MAM_0347,2,Female,PEMD4
,MAM_0348,2,Female,G03C
,MAM_0349,2,Female,G04B
,MAM_0350,2,Male,G05B
,MAM_0351,2,Male,G06B
,MAM_0352,2,Male,G07B
,MAM_0353,2,Female,G08B
,MAM_0430,2,Male,PB1B
,MAM_0431,2,Female,PB2B
,MAM_0432,2,Female,PB3B
,MAM_0433,2,Female,PEMD5C
,MAM_0434,2,Male,PEMD6B
,MAM_0435,2,Male,PEMD7B
,MAM_0436,2,Male,PEMD8B
,MAM_0437,2,Female,PEMD9
,MAM_0438,2,Male,PEMD10
,MAM_0439,2,Female,PEMD11
,MAM_0440,2,Male,G09B
,MAM_0441,2,Unknown,G10
,MAM-0001,2,Male,BLT39
,MAM-0002,2,Male,BLT40
,MAM-0003,2,Male,BLT41
,MAM-0004,2,Male,BLT42
,MAM-0005,2,Female,BLT43
,MAM-0006,2,Female,BLT44
,MAM-0007,2,Female,BLT45
,MAM-0008,2,Male,BLT46
,MAM-0009,2,Male,BLT47
,MAM-0010,2,Male,BLT48
,MAM-0213,2,Male,G01A
,MAM-0214,2,Unknown,B01
